vendor,type,full price,assumed mount cost,total cwt,carat,clarity,color,cut,price
Costco,stud earrings,290,10,0.25,0.125,VS2,I,Good,140
Costco,stud earrings,700,20,0.5,0.25,VS2,I,Good,340
Costco,stud earrings,1200,20,0.6,0.3,VS2,G,Good,590
Costco,stud earrings,2500,20,1,0.5,VS2,I,Good,1240
Costco,stud earrings,5400,20,1.6,0.8,VS2,I,Excellent,2690
Costco,stud earrings,17000,20,2.6,1.3,VS2,I,Excellent,8490
Costco,stud earrings,35000,20,4,2,VS2,I,Excellent,17490
Costco,solitaire ring,5900,800,1,1,VS2,I,Very Good,5100
Costco,solitaire ring,40000,800,2.05,2.05,VS1,E,Excellent,39200
Costco,solitaire ring,44000,800,1.72,1.72,VVS2,D,Excellent,43200
Costco,solitaire ring,2300,500,0.7,0.7,VS2,I,Good,1800
Costco,solitaire ring,60000,800,4,4,VS2,I,Excellent,59200
Costco,solitaire ring,36000,800,2.01,2.01,VS1,D,Excellent,35200
Costco,solitaire ring,29000,1200,1.66,1.66,VS1,E,Excellent,27800
Costco,solitaire ring,11000,800,1.5,1.5,VS2,I,Excellent,10200
BlueNile,Diamond,4001,,,1.01,SI1,G,Good,4001
BlueNile,Diamond,,,,1.3,SI2,J,Very Good,4042
BlueNile,Diamond,3376,,,0.9,SI1,E,Very Good,3376
BlueNile,Diamond,,,,0.4,SI2,K,Very Good,382
BlueNile,Diamond,,,,0.4,VS2,K,Very Good,483
BlueNile,Diamond,,,,0.55,VS2,K,Ideal,717
BlueNile,Diamond,,,,0.62,SI2,K,Ideal,999
BlueNile,Diamond,,,,0.71,SI1,K,Good,1014
BlueNile,Diamond,,,,0.9,SI2,K,Very Good,1769
BlueNile,Diamond,,,,0.9,VVS2,K,Very Good,2480
BlueNile,Diamond,,,,0.9,SI2,H,Ideal,3041
BlueNile,Diamond,,,,1,VS2,K,Good,3046
BlueNile,Diamond,,,,1.31,SI2,K,Ideal,4187
BlueNile,Diamond,,,,1.51,SI2,K,Ideal,5122
BlueNile,Diamond,,,,1.3,SI2,H,Ideal,6243
BlueNile,Diamond,,,,1.9,SI1,K,Ideal,9612
BlueNile,Diamond,,,,2.02,SI2,K,Ideal,9813
BlueNile,Diamond,,,,2.2,SI2,K,Ideal,12372
BlueNile,Diamond,,,,2.32,SI2,H,Ideal,17498
DanielWilliams,,,,,1.21,SI1,K,Excellent,2966
DanielWilliams,,,,,1.2,SI2,I,Good,4141
DanielWilliams,,,,,1.2,SI2,F,Excellent,4413
DanielWilliams,,,,,2,SI2,D,Good,12332
DanielWilliams,,,,,1.96,SI2,E,Excellent,12924
DanielWilliams,,,,,2.51,SI1,I,Very Good,17709
DanielWilliams,,,,,2.3,VS1,I,Excellent,22545
DanielWilliams,,,,,2.54,VVS1,G,Excellent,32175
DanielWilliams,,,,,3.01,IF,H,Very Good,48812
DanielWilliams,,,,,0.81,VVS1,I,Excellent,2939
DanielWilliams,,,,,0.8,VS1,I,Very Good,2528
DanielWilliams,,,,,1.15,VS1,H,Excellent,6376
DanielWilliams,,,,,0.5,VS1,I,Excellent,1044
DanielWilliams,,,,,0.75,VS1,I,Excellent,2295
DanielWilliams,,,,,0.75,VS1,F,Excellent,2711
DanielWilliams,,,,,0.75,VS1,D,Excellent,3076
DanielWilliams,,,,,2.15,VS1,D,Excellent,26422
DanielWilliams,,,,,2.01,VVS1,D,Excellent,32847
DanielWilliams,,,,,2,IF,L,Excellent,11194
DanielWilliams,,,,,4.5,VVS1,K,Excellent,56749
DanielWilliams,,,,,5.23,VVS1,L,Excellent,59985
DanielWilliams,,,,,5.48,VVS1,F,Excellent,285346
DanielWilliams,,,,,5,VVS1,F,Excellent,155488
DanielWilliams,,,,,5.01,SI2,E,Excellent,66209
DanielWilliams,,,,,4.01,SI1,G,Excellent,50357
DanielWilliams,,,,,3.7,SI2,K,Excellent,24654
DanielWilliams,,,,,2.09,SI2,L,Excellent,5937
DanielWilliams,,,,,1.9,VS2,K,Very Good,9096
DanielWilliams,,,,,1.69,VS2,L,Excellent,5694
DanielWilliams,,,,,1.7,VS1,L,Very Good,5840
DanielWilliams,,,,,1.4,VS2,L,Very Good,3761
DanielWilliams,,,,,0.9,VS1,L,Good,1848
DanielWilliams,,,,,0.9,VS1,E,Good,3409
DanielWilliams,,,,,0.86,VS2,D,Excellent,3434
DanielWilliams,,,,,0.6,VS2,D,Very Good,1576
DanielWilliams,,,,,0.6,VS2,E,Excellent,1663
